"#",PROG CODE,INSTITUTION NAME,PROGRAMME NAME,2015 CUTOFF,2016 CUTOFF,2017 CUTOFF,2018 CUTOFF,2019 CUTOFF,2020 CUTOFF,2021 CUTOFF
BACHELOR OF ARTS,,,,,,,,,,
1,1057101,EGERTON UNIVERSITY,BACHELOR OF ARTS,30.02,25.256,25.339,24.851,26.54,28.227,22.926
2,1087101,KISII UNIVERSITY,BACHELOR OF ARTS,31.918,26.569,-,23.93,24.763,27.318,22.926
3,1105101,CHUKA UNIVERSITY,BACHELOR OF ARTS,30.99,24.952,24.402,25.798,26.729,28.419,25.974
4,1111101,KENYATTA UNIVERSITY,BACHELOR OF ARTS,29.97,24.382,24.435,25.612,26.988,28.196,25.034
5,1117101,PWANI UNIVERSITY,BACHELOR OF ARTS,-,-,-,-,-,-,-
6,1166101,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF ARTS,23,25.365,-,24.54,24.886,26.152,22.926
7,1170101,MACHAKOS UNIVERSITY,BACHELOR OF ARTS,23,24.786,-,24.307,24.642,26.36,22.926
8,1253101,MOI UNIVERSITY,BACHELOR OF ARTS,28.97,25.734,24.76,23.32,24.163,26.902,22.926
9,1263101,UNIVERSITY OF NAIROBI,BACHELOR OF ARTS,28.5,25.344,24.66,23.795,24.075,27.036,24.382
10,1685101,THARAKA UNIVERSITY COLLEGE,BACHELOR OF ARTS,-,-,-,24.562,24.746,25.095,22.926
11,1700101,BOMET UNIVERSITY COLLEGE,BACHELOR OF ARTS,-,-,-,25.563,25.022,25.882,22.926
12,1229101,MASENO UNIVERSITY,BACHELOR OF ARTS (WITH IT),23,24.545,24.898,24.209,24.048,26.996,22.926
13,1515101,TOM MBOYA UNIVERSITY COLLEGE,BACHELOR OF ARTS (WITH IT),-,28.293,-,23.407,25.498,25.033,22.926
14,1164101,MULTIMEDIA UNIVERSITY OF KENYA,"BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL SCIENCE)",-,-,-,-,-,-,24.456
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,,,,,,,,,,
1,1063102,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,40.958,41.385,40.153,39.265,40.303,41.075,39.176
2,1112102,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,43.429,43.405,41.893,42.286,42.706,42.399,40.979
3,1249564,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,44.094,43.62,40.989,39.92,42.967,43.16,42.016
